,Class,yolo_center_x,yolo_center_y,yolo_width,yolo_height,ref_center_x,ref_center_y,ref_width,ref_height
0,2,0.44571900000000003,0.660517,0.848437,0.566667,0.45078125,0.625,0.7984375,0.575
1,2,0.442594,0.663642,0.817187,0.59375,0.43203125,0.6208333333333333,0.8078125,0.5875
2,2,0.448844,0.660517,0.879687,0.6,0.47421875,0.63125,0.9046875,0.6541666666666667
3,2,0.483219,0.634475,0.748438,0.53125,0.45078125,0.6197916666666666,0.7203125,0.5270833333333333
4,2,0.488688,0.6251,0.703125,0.5,0.4828125,0.61875,0.66875,0.4833333333333333
5,2,0.468375,0.592808,0.425,0.289583,0.44609375,0.6052083333333333,0.4296875,0.3104166666666667
6,2,0.431656,0.645933,0.845312,0.670833,0.4921875,0.628125,0.984375,0.7354166666666667
7,2,0.460562,0.598017,0.903125,0.775,0.4984375,0.6,0.996875,0.7875
8,2,0.469938,0.59385,0.425,0.295833,0.44765625,0.603125,0.4296875,0.31875
9,2,0.444937,0.649058,0.834375,0.55625,0.4515625,0.615625,0.759375,0.55625
10,2,0.486344,0.646975,0.954687,0.610417,0.47421875,0.6291666666666667,0.8609375,0.6416666666666667
11,2,0.485562,0.594892,0.425,0.302083,0.47265625,0.6072916666666667,0.4296875,0.3145833333333333
12,2,0.473063,0.605308,0.4125,0.302083,0.44765625,0.6,0.4328125,0.3125
13,2,0.48712500000000003,0.591767,0.49375,0.379167,0.475,0.609375,0.534375,0.3854166666666667
14,2,0.473844,0.592808,0.429688,0.302083,0.446875,0.5989583333333334,0.428125,0.3145833333333333
15,2,0.478531,0.609475,0.651563,0.44375,0.48125,0.6145833333333334,0.596875,0.4375
16,2,0.524625,0.586558,0.96875,0.735417,0.49609375,0.5625,0.9859375,0.8
17,2,0.483219,0.592808,0.420312,0.29375,0.46875,0.6020833333333333,0.41875,0.3041666666666666
18,2,0.485562,0.588642,0.4375,0.322917,0.465625,0.6072916666666667,0.45,0.3270833333333333
19,2,0.525406,0.589683,0.967188,0.7375,0.4984375,0.5666666666666667,0.99375,0.7958333333333333
20,2,0.437125,0.630308,0.6875,0.527083,0.4421875,0.6166666666666667,0.653125,0.475
21,2,0.468375,0.59385,0.425,0.291667,0.44765625,0.603125,0.4296875,0.31875
22,2,0.473844,0.654267,0.929688,0.575,0.4515625,0.628125,0.89375,0.6604166666666667
23,2,0.473063,0.598017,0.928125,0.720833,0.4921875,0.609375,0.984375,0.7645833333333333
24,2,0.480875,0.615725,0.49375,0.38125,0.46328125,0.6114583333333333,0.5234375,0.3854166666666667
25,2,0.433219,0.644892,0.848437,0.66875,0.4921875,0.628125,0.984375,0.7270833333333333
26,2,0.49025,0.65635,0.9625,0.608333,0.47578125,0.6302083333333334,0.8703125,0.6270833333333333
27,2,0.487906,0.630308,0.670313,0.502083,0.4796875,0.6145833333333334,0.65625,0.4708333333333333
28,2,0.524625,0.5876,0.96875,0.7375,0.49765625,0.5708333333333333,0.9921875,0.7958333333333333
29,2,0.518375,0.598017,0.509375.1,0.3375,0.48203125,0.6104166666666667,0.5140625,0.375
30,2,0.431656,0.636558,0.845312,0.660417,0.49140625,0.621875,0.9828125,0.7229166666666667
31,2,0.480875,0.639683,0.921875,0.625,0.49375,0.628125,0.9875,0.7270833333333333
32,2,0.433219,0.6428079999999999,0.848437,0.677083,0.4921875,0.63125,0.984375,0.7291666666666666
33,2,0.473844,0.6428079999999999,0.929688,0.59375,0.45390625,0.6322916666666667,0.9078125,0.6729166666666667
34,2,0.49728100000000003,0.589683,0.485938,0.341667,0.4640625,0.60625,0.471875,0.3416666666666667
35,2,0.526187,0.590725,0.965625,0.735417,0.496875,0.5635416666666667,0.99375,0.7895833333333333
36,2,0.487906,0.641767,0.757812,0.545833,0.48125,0.6197916666666666,0.715625,0.51875
37,2,0.491812,0.592808,0.446875,0.322917,0.4765625,0.6072916666666667,0.453125,0.3270833333333333
38,2,0.486344,0.614683,0.576563,0.4125,0.4828125,0.615625,0.55625,0.4104166666666666
39,2,0.444156,0.655308,0.789062,0.589583,0.43515625,0.61875,0.7515625,0.55
40,2,0.480875,0.64385,0.928125,0.629167,0.49453125,0.628125,0.9859375,0.7270833333333333
41,2,0.48165600000000003,0.63135,0.714063,0.545833,0.48046875,0.615625,0.7015625,0.5020833333333333
42,2,0.526969,0.605308,0.457812,0.33125,0.48515625,0.6104166666666667,0.4671875,0.3416666666666667
43,2,0.495719,0.649058,0.801562,0.56875,0.48203125,0.6208333333333333,0.7609375,0.5625
44,2,0.485562,0.610517,0.471875,0.354167,0.45,0.6083333333333333,0.471875,0.3416666666666667
45,2,0.486344,0.651142,0.954687,0.614583,0.4765625,0.634375,0.859375,0.6354166666666666
46,2,0.460562,0.65635,0.903125,0.583333,0.43359375,0.621875,0.8578125,0.63125
47,2,0.494938,0.609475,0.49375,0.377083,0.46640625,0.6114583333333333,0.4828125,0.35625
48,2,0.480094,0.620933,0.485938,0.383333,0.45,0.6083333333333333,0.496875,0.3625
49,2,0.488688,0.591767,0.48125,0.3625,0.4640625,0.6083333333333333,0.496875,0.3583333333333333
50,2,0.469156,0.59385,0.429688,0.295833,0.44609375,0.603125,0.4296875,0.3145833333333333
51,2,0.44025000000000003,0.641767,0.8625,0.670833,0.490625,0.6270833333333333,0.98125,0.7291666666666666
52,2,0.544937,0.6271829999999999,0.871875,0.616667,0.48125,0.6166666666666667,0.9625,0.75
53,2,0.523844,0.5876,0.970312,0.733333,0.5,0.56875,0.990625,0.8
54,2,0.482437,0.616767,0.56875,0.4,0.46328125,0.6177083333333333,0.5703125,0.4229166666666666
55,2,0.516031,0.592808,0.523438,0.352083,0.47578125,0.6125,0.5484375,0.4041666666666667
56,2,0.487906,0.6126,0.489062,0.383333,0.46015625,0.6114583333333333,0.5046875,0.3729166666666667
57,2,0.444937,0.6584329999999999,0.7625,0.6,0.4375,0.61875,0.725,0.5291666666666667
58,2,0.524625,0.5876,0.96875,0.7375,0.49765625,0.5645833333333333,0.9953125,0.775
59,2,0.447281,0.655308,0.864062,0.59375,0.48359375,0.63125,0.8265625,0.6083333333333333
60,2,0.483219,0.59385,0.420312,0.295833,0.4703125,0.6,0.41875,0.3083333333333333
61,2,0.529312,0.589683,0.959375,0.7375,0.5,0.56875,0.99375,0.7958333333333333
62,2,0.526969,0.590725,0.964063,0.74375,0.4984375,0.5677083333333334,0.996875,0.8020833333333334
63,2,0.529312,0.589683,0.490625,0.329167,0.484375,0.609375,0.48125,0.3479166666666666
64,2,0.484781,0.615725,0.657812,0.45625,0.48203125,0.6145833333333334,0.6078125,0.4416666666666666
65,2,0.433219,0.639683,0.848437,0.679167,0.4921875,0.6260416666666667,0.984375,0.73125
66,2,0.436344,0.638642,0.854688,0.664583,0.4921875,0.6302083333333334,0.984375,0.7270833333333333
67,2,0.491812,0.602183,0.478125,0.366667,0.471875,0.6083333333333333,0.49375,0.3583333333333333
68,2,0.49025,0.633433,0.9625,0.620833,0.47421875,0.61875,0.9484375,0.7375
69,2,0.451969,0.646975,0.885938,0.639583,0.46484375,0.625,0.9265625,0.7333333333333333
70,2,0.482437,0.591767,0.434375,0.3125,0.46875,0.6041666666666666,0.4375,0.3333333333333333
71,2,0.433219,0.639683,0.848437,0.675,0.490625,0.6270833333333333,0.98125,0.7208333333333333
72,2,0.468375,0.591767,0.421875,0.291667,0.44765625,0.6041666666666666,0.4328125,0.3125
73,2,0.442594,0.655308,0.832812,0.572917,0.43359375,0.6260416666666667,0.7984375,0.5770833333333333
74,2,0.47775,0.599058,0.48125,0.364583,0.44609375,0.6072916666666667,0.5046875,0.36875
75,2,0.468375,0.624058,0.5875,0.422917,0.44765625,0.6114583333333333,0.5796875,0.4229166666666666
76,2,0.564469,0.588642,0.889063,0.764583,0.49765625,0.5666666666666667,0.9953125,0.7583333333333333
77,2,0.433219,0.638642,0.848437,0.664583,0.49453125,0.628125,0.9890625,0.7270833333333333
78,2,0.444937,0.663642,0.8125,0.60625,0.4328125,0.61875,0.778125,0.5625
79,2,0.448844,0.6626,0.879687,0.591667,0.45,0.6260416666666667,0.825,0.6145833333333334
80,2,0.49259400000000003,0.588642,0.407813,0.289583,0.48671875,0.6041666666666666,0.4140625,0.3
81,2,0.46134400000000003,0.599058,0.904688,0.789583,0.496875,0.6010416666666667,0.99375,0.78125
82,2,0.482437,0.594892,0.421875,0.297917,0.4703125,0.603125,0.415625,0.3020833333333333
83,2,0.4465,0.655308,0.815625,0.589583,0.434375,0.61875,0.775,0.5625
84,2,0.480875,0.609475,0.440625,0.327083,0.45625,0.6052083333333333,0.434375,0.33125
85,2,0.48165600000000003,0.591767,0.442187,0.316667,0.45,0.603125,0.45.1,0.3229166666666667
86,2,0.486344,0.628225,0.626562,0.44375,0.48203125,0.6145833333333334,0.5703125,0.4166666666666667
87,2,0.485562,0.609475,0.4625,0.34375,0.45,0.609375,0.465625,0.34375
88,2,0.443375,0.657392,0.79375,0.577083,0.43828125,0.6145833333333334,0.7390625,0.5375
89,2,0.483219,0.59385,0.435937,0.325,0.46953125,0.603125,0.4484375,0.3270833333333333
90,2,0.479313,0.613642,0.471875,0.36875,0.45078125,0.6104166666666667,0.4890625,0.3583333333333333
91,2,0.49259400000000003,0.589683,0.485938,0.3625,0.46328125,0.6052083333333333,0.4859375,0.3520833333333333
92,2,0.488688,0.601142,0.41875,0.31875,0.46171875,0.6052083333333333,0.4515625,0.33125
93,2,0.525406,0.589683,0.967188,0.745833,0.496875,0.5645833333333333,0.990625,0.8083333333333333
94,2,0.484781,0.651142,0.951563,0.622917,0.47265625,0.6291666666666667,0.8609375,0.6333333333333333
95,2,0.5230630000000001,0.588642,0.971875,0.74375,0.5,0.565625,0.996875,0.79375
96,2,0.483219,0.592808,0.420312,0.29375,0.471875,0.603125,0.41875,0.30625
97,2,0.442594,0.629267,0.757812,0.5375,0.453125,0.6114583333333333,0.68125,0.4979166666666667
98,2,0.437906,0.632392,0.701563,0.54375,0.43671875,0.615625,0.6734375,0.4895833333333333
99,2,0.523844,0.589683,0.970312,0.741667,0.49765625,0.5697916666666667,0.9953125,0.7979166666666667
100,2,0.522281,0.588642,0.973437,0.747917,0.496875,0.565625,0.990625,0.80625
101,2,0.431656,0.64385,0.845312,0.666667,0.49296875,0.6270833333333333,0.9859375,0.7375
102,2,0.526187,0.588642,0.965625,0.735417,0.49765625,0.5645833333333333,0.9953125,0.8
103,2,0.484781,0.621975,0.535937,0.40625,0.47265625,0.6125,0.5640625,0.4208333333333333
104,2,0.448063,0.641767,0.79375,0.5625,0.45234375,0.6229166666666667,0.7609375,0.5541666666666667
105,2,0.441813,0.610517,0.53125,0.4,0.44453125,0.6083333333333333,0.5359375,0.3833333333333333
106,2,0.47775,0.61885,0.609375,0.45,0.4578125,0.609375,0.628125,0.4604166666666666
107,2,0.483219,0.591767,0.417188,0.295833,0.4703125,0.6020833333333333,0.41875,0.3041666666666666
108,2,0.524625,0.589683,0.96875,0.75,0.4984375,0.5697916666666667,0.996875,0.8020833333333334
109,2,0.441813,0.621975,0.65,0.485417,0.43984375,0.609375,0.6171875,0.4479166666666667
110,2,0.44025000000000003,0.664683,0.85625,0.6,0.43125,0.6239583333333333,0.821875,0.5979166666666667
111,2,0.443375,0.620933,0.715625,0.5125,0.4578125,0.6135416666666667,0.65625,0.46875
112,2,0.47775,0.594892,0.434375,0.322917,0.4578125,0.603125,0.44375,0.3229166666666667
113,2,0.474625,0.620933,0.490625,0.379167,0.44765625,0.6052083333333333,0.5265625,0.38125
114,2,0.524625,0.590725,0.96875,0.739583,0.49921875,0.5697916666666667,0.9953125,0.80625
