N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;1;0.04;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;1;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;1;0.03;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;1;0.01;0.2;0.2;0.2;0.2;0.2;0.11;0;0
5;1;0.02;0.2;0.2;0.2;0.2;0.2;0.03;0;0
6;1;0.03;0.2;0.2;0.2;0.2;0.2;0.04;0;0
7;1;0.03;0.2;0.2;0.2;0.2;0.2;0.25;0;0
8;1;0.02;0.2;0.2;0.2;0.2;0.2;1;1;0
1;2;0.01;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;2;0.02;0.2;0.2;0.2;0.2;0.2;0.1;0;0
3;2;0.03;0.2;0.2;0.2;0.2;0.2;0.12;0;0
4;2;0.02;0.2;0.2;0.2;0.2;0.2;0.11;0;0
5;2;0.02;0.2;0.2;0.2;0.2;0.2;0.09;0;0
6;2;0.02;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;3;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;3;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;3;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;4;0.0;0.2;0.2;0.2;0.2;0.2;0.13;0;0
2;4;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;5;0.01;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;5;0.02;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;6;0.04;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;6;0.01;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;6;0.02;0.2;0.2;0.2;0.2;0.2;1;1;0
1;7;0.03;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;7;0.03;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;7;0.03;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;7;0.03;0.2;0.2;0.2;0.2;0.2;0.12;0;0
5;7;0.02;0.2;0.2;0.2;0.2;0.2;0.08;0;0
6;7;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;8;0.01;0.2;0.2;0.2;0.2;0.2;0.09;0;0
2;8;0.02;0.2;0.2;0.2;0.2;0.2;0.1;0;0
3;8;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;8;0.01;0.2;0.2;0.2;0.2;0.2;0.15;0;0
5;8;0.02;0.2;0.2;0.2;0.2;0.2;1;1;0
1;9;0.01;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;9;0.01;0.2;0.2;0.2;0.2;0.2;0.08;0;0
1;10;0.0;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;10;0.02;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;10;0.01;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;10;-0.01;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;11;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;11;0.01;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;11;0.02;0.2;0.2;0.2;0.2;0.2;0.08;0;0
4;11;0.01;0.2;0.2;0.2;0.2;0.2;0.08;0;0
5;11;0.01;0.2;0.2;0.2;0.2;0.2;0.08;0;0
6;11;0.01;0.2;0.2;0.2;0.2;0.2;0.03;0;0
7;11;0.02;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;12;0.02;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;13;0.03;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;13;0.03;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;13;0.01;0.2;0.2;0.2;0.2;0.2;0.09;0;0
4;13;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;14;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;14;0.02;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;14;0.03;0.2;0.2;0.2;0.2;0.2;0.08;0;0
4;14;0.02;0.2;0.2;0.2;0.2;0.2;0.05;0;0
5;14;0.0;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;15;0.03;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;15;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;15;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;16;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;16;0.01;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;16;0.0;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;17;-0.01;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;17;0.0;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;17;0.0;0.2;0.2;0.2;0.2;0.2;0.09;0;0
4;17;-0.0;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;17;0.02;0.2;0.2;0.2;0.2;0.2;0.09;0;0
6;17;0.02;0.2;0.2;0.2;0.2;0.2;0.07;0;0
7;17;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;18;0.03;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;18;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;18;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;18;-0.0;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;18;0.01;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;19;0.04;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;19;0.02;0.2;0.2;0.2;0.2;0.2;0.1;0;0
3;19;0.02;0.2;0.2;0.2;0.2;0.2;0.11;0;0
4;19;0.02;0.2;0.2;0.2;0.2;0.2;0.03;0;0
5;19;0.04;0.2;0.2;0.2;0.2;0.2;0.02;0;0
6;19;0.04;0.2;0.2;0.2;0.2;0.2;0.15;0;0
7;19;0.03;0.2;0.2;0.2;0.2;0.2;0.04;0;0
8;19;0.04;0.2;0.2;0.2;0.2;0.2;0.02;0;0
9;19;0.03;0.2;0.2;0.2;0.2;0.2;0.03;0;0
10;19;0.03;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;20;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;20;0.02;0.2;0.2;0.2;0.2;0.2;0.13;0;0
3;20;0.01;0.2;0.2;0.2;0.2;0.2;0.12;0;0
1;21;-0.0;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;21;0.01;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;21;0.0;0.2;0.2;0.2;0.2;0.2;0.06;0;0
4;21;0.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;21;0.01;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;22;0.0;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;22;-0.0;0.2;0.2;0.2;0.2;0.2;0.22;0;0
3;22;0.0;0.2;0.2;0.2;0.2;0.2;0.11;0;0
1;23;0.04;0.2;0.2;0.2;0.2;0.2;1;1;0
1;24;0.04;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;24;0.05;0.2;0.2;0.2;0.2;0.2;0.12;0;0
