N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;1;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;1;0.1;0.2;0.2;0.2;0.2;0.2;0.1;0;0
3;1;0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
4;1;0.11;0.2;0.2;0.2;0.2;0.2;1;1;0
1;2;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;2;0.07;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;2;0.09;0.2;0.2;0.2;0.2;0.2;0.07;0;0
4;2;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;3;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;3;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;3;0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
4;3;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;4;0.09;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;4;0.09;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;4;0.09;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;4;0.09;0.2;0.2;0.2;0.2;0.2;0.14;0;0
5;4;0.09;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;5;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;5;0.1;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;5;0.09;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;5;0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
5;5;0.1;0.2;0.2;0.2;0.2;0.2;0.05;0;0
6;5;0.11;0.2;0.2;0.2;0.2;0.2;1;1;0
1;6;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;6;0.08;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;7;0.09;0.2;0.2;0.2;0.2;0.2;0.12;0;0
2;7;0.1;0.2;0.2;0.2;0.2;0.2;1;1;0
1;8;0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;8;0.11;0.2;0.2;0.2;0.2;0.2;0.15;0;0
3;8;0.1;0.2;0.2;0.2;0.2;0.2;0.15;0;0
4;8;0.11;0.2;0.2;0.2;0.2;0.2;0.17;0;0
5;8;0.09;0.2;0.2;0.2;0.2;0.2;0.1;0;0
6;8;0.1;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;9;0.1;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;9;0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;9;0.1;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;9;0.1;0.2;0.2;0.2;0.2;0.2;0.07;0;0
5;9;0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
6;9;0.11;0.2;0.2;0.2;0.2;0.2;0.15;0;0
7;9;0.1;0.2;0.2;0.2;0.2;0.2;0.04;0;0
8;9;0.1;0.2;0.2;0.2;0.2;0.2;0.11;0;0
9;9;0.1;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;10;0.09;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;10;0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;10;0.1;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;10;0.09;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;10;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;11;0.09;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;11;0.09;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;11;0.09;0.2;0.2;0.2;0.2;0.2;1;1;0
1;12;0.09;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;12;0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;12;0.09;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;12;0.09;0.2;0.2;0.2;0.2;0.2;0.13;0;0
5;12;0.1;0.2;0.2;0.2;0.2;0.2;0.05;0;0
6;12;0.11;0.2;0.2;0.2;0.2;0.2;1;1;0
1;13;0.08;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;13;0.09;0.2;0.2;0.2;0.2;0.2;0.13;0;0
3;13;0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;14;0.11;0.2;0.2;0.2;0.2;0.2;0.19;0;0
2;14;0.1;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;14;0.1;0.2;0.2;0.2;0.2;0.2;1;1;0
1;15;0.1;0.2;0.2;0.2;0.2;0.2;0.01;0;0
